NOME_VIA;NOME_NORM;DIST
Via Paolo Nanni;Via Paolo Nani;1
Via Boscardin;Via Santa Bertilla Boscardin;14
Strada Comunale di San Vitale;Strada comunale di San Vitale;1
Sent. Loc. La Madonnetta - Sant'Artemio;Sentiero La Madonnetta - Sant'Artemio;5
Piazzetta Don Ferdinando Pasin;Piazzetta don Ferdinando Pasin;1
Sent. Case Piavone - Sant'Artemio;Sentiero Case Piavone - Sant'Artemio;4
Strada di Nogarè;Via Nogarè;8
Via Bartolomeo d'Alviano;Viale Bartolomeo d'Alviano;2
Via Avogadro Rambaldo degli Azzoni;Via Rambaldo degli Azzoni Avogadro;18
Via Don Lorenzo Milani;Via don Lorenzo Milani;1
Piazzetta San Parisio;Corte San Parisio;8
Via Tommaso Da Modena;Via Tommaso da Modena;1
Strada Cornare;Via Cornare;5
Via Ciardi Guglielmo;Via Guglielmo Ciardi;14
Via della Madonnetta;Strada della Madonetta;6
Via Minzoni;Via don Giovanni Minzoni;12
Via delle Zecchette;Via Zecchette;6
Strada Cisole;Via Cisole;5
Vicolo Feltrina;Vicolo Feltrina C;2
Via Brigata Marche;Viale Brigata Marche;2
Via Anassilide Aglaia;Via Aglaia Anassilide;13
Via Cormaino;Via Cornaino;1
Via Generale Alessandro Guidotti;Via generale Alessandro Guidotti;1
Via 13 Luglio 1921;Via 13 luglio 1921;1
Via Gallina;Via Giacinto Gallina;8
Vicolo del Molinetto;Vicolo Molinetto;4
Via Rosselli;Via Carlo Rosselli;6
Via San Pelaio;Via San Parisio;4
Ponte Garibaldi;Ponte Giuseppe Garibaldi;9
Ponte Ottavi;Ponte Ottavio Ottavi;8
Via Louis Pasteur;Viale Luigi Pasteur;5
Vicolo Giuseppe Toniolo;Via Giuseppe Toniolo;4
Via Giovan Battista Cervellini;Via Giovanni Battista Cervellini;2
Via Marzolo;Via Paolo Marzolo;6
Via A. Beazzano;Via Agostino Beazzano;7
Via Callisto;Via Callisto Patriarca;10
Via Orsetti Matovani;Via Domenico Mantovani Orsetti;16
Via P. Origo;Via Paola Drigo;5
Via Mure di San Teonisto;Via Mura San Teonisto;4
Vicolo 24 Maggio;Vicolo Ventiquattro Maggio;12
Via Boberdò;Via Doberdò;1
Via Matovani Orsetti;Via Domenico Mantovani Orsetti;10
Via Bernardino Bison;Via Giuseppe Bernardino Bison;9
Strada del Nascimben;Via Nascimben;9
Via Mandruzzato;Via Giovan Battista Mandruzzato;15
Via Ferretton;Via Ferdinando Ferretton;10
Via del Pegorile;Via Pegorile;4
Via Fratelli Bandiera;Viale Fratelli Bandiera;2
Strada dei Tappi-Via Villapendola;Strada dei Tappi;17
Via Bernardino Manin;Via Bernardino Marin;1
Via Generale Angelo Mengardo;Via generale Angelo Mengaldo;2
Accesso Ed.10;Accesso Edificio 10;7
Via Cortese;Via Francesco Cortese;10
Via Don Enrico Cagnin;Via don Enrico Cagnin;1
Via Catullo;Via Tommaso Catullo;8
Via Don Luigi Sturzo;Via don Luigi Sturzo;1
Via del Pozzetto;Strada del Pozzetto;5
Via Scipione Bagaggia;Via Bagaggia Scipione;16
Via Lungo Fiume Cerca;Lungofiume Cerca;6
Via Generale Augusto Vanzo;Via generale Augusto Vanzo;1
Via Antonia di Alessandro Maurocordato;Via Alessandro Maurocordato Antoniadi;21
Porta Frà Giocondo;Ponte fra' Giocondo;5
Via Angelo Dalministro;Via Angelo Dalmistro;2
Via fratelli Benvenuto;Via Fratelli Benvenuto;1
Via Rapisardi;Via Vito Rapisardi;5
Viale Montegrappa;Viale Monte Grappa;2
Via Paris Bordon;Via Paris Bordone;1
Viale 24 Maggio;Viale Ventiquattro Maggio;12
Via Benini;Via Ferruccio Benini;10
Via Boiago;Strada di Boiago;8
Via Mons. A.Mantiero;Via Antonio Mantiero;7
Via Barbarano da Treviso;Via Barbano da Treviso;2
Via A.Voltolin;Via Aldo Voltolin;4
Via Granzetta;Strada Granzetta;5
Via Cà Sugana;Via Luigi Sugana;5
Via L. Barbo;Via Lodovico Barbo;7
Via Palasciano;Via Ferdinando Palasciano;10
Via Cimitero Monigo;Via Cimitero di Monigo;3
Via Aereoporto;Strada dell'Aeroporto;11
Via A.Tronconi;Via Alessandro Tronconi;10
Piazza Crispi;Piazza Francesco Crispi;10
Via 20 settembre;Via Venti Settembre;6
Via P. De Coubertin;Via Pierre de Coubertin;6
Via Giovanni Battista Canal;Via Gian Battista Canal;4
Vicolo dei Dall'Oro;Vicolo dei dall'Oro;1
Strada del Cimitero;Via Cimitero San Lazzaro;20
Via Giovanni Augurello;Via Giovanni Aurelio Augurello;8
Via L. Pagani Cesa;Via Luigi Pagani Cesa;4
Strada Scudetto San Giuseppe;Strada Scudetto di San Giuseppe;3
Vicolo San Zeno b;Vicolo San Zeno B;1
Aeroporto Sant'Angelo;DELETE;21
Via Menegazzi;Via Giuseppe Menegazzi;9
Via B.Marcello;Via Benedetto Marcello;9
Piazza Borsa;Piazza della Borsa;6
Strada Rotonda;Via Rotonda;5
Via Gian Battista Scopoli;Via Giovanni Antonio Scopoli;11
Via Sant'Antonio da Padova;Viale Sant'Antonio da Padova;2
Via G.Torretti;Via Giuseppe Torretti;8
Accesso Ed.22;Accesso Edificio 22;7
Via L.L. Bernaldel;Via Luigi e Lucia Bernardel;12
Via Loschi;Via Domenico Loschi;9
Via Bianchetti;Via Giuseppe Bianchetti;9
