NOME_VIA;NOME_NORM
VIA AMUNDSEN ROALD ENGHELBERT;Via Amundsen Roald Enghelbert
VIA FILIPPO TURATI;Via Filippo Turati
VIA GAETANO SALVEMINI;Via Gaetano Salvemini
VIA LAURO DE BOSIS;Via Lauro de Bosis
VIA GIOVANNI AMENDOLA;Via Giovanni Amendola
VICOLO FRATELLI CAIROLI;Vicolo Fratelli Cairoli
VIA SOLFERINO E SAN MARTINO;Via Solferino e San Martino
VIA SPALATO;Via Spalato
VIA BARTOLOMEO ORIOLI;Via Bartolomeo Orioli
VIA CUNIZZA DA ROMANO;Via Cunizza da Romano
VIA CALLALTA;Via Callalta
VIA PIER ADOLFO TIRINDELLI;Via Pier Adolfo Tirindelli
PIAZZA DONATORI DI SANGUE;Piazza Donatori di Sangue
VICOLO PAOLO VERONESE;Vicolo Paolo Veronese
VICOLO LUIGI PASTEUR;Vicolo Luigi Pasteur
VIA FAMIGLIA  ALBERGHETTI;Via Famiglia Alberghetti
VICOLO C SANT' ANTONINO;Vicolo Sant'Antonino C
PONTE SAN FRANCESCO;Ponte San Francesco
PONTE SAN MARTINO;Ponte San Martino
PONTE DANTE;Ponte Dante
VIA ESULI GIULIANO DALMATI;Via Esuli Giuliano Dalmati
PIAZZA MARTIRI DELLE FOIBE;Piazza Martiri delle Foibe
VIA BRIGATA CADORE;Via Brigata Cadore
VIA DAVIDE FRANCESCHETTI;Via Davide Franceschetti
PONTE SAN LEONARDO;Ponte San Leonardo
VIA CARSO;Via Carso
VICOLO OTTAVIO OTTAVI;Vicolo Ottavio Ottavi
VIALE NINO BIXIO;Viale Nino Bixio
VIA STORTA;Via Storta
VIA ALTINO;Via Altino
VIA CADUTI DI CEFALONIA;Via Caduti di Cefalonia
VIA GUSTAVO BAMPO;Via Gustavo Bampo
PIAZZALE PRATO FIERA;Piazzale Prato Fiera
VIA FRATELLI TESTOLINI;Via Fratelli Testolini
VIALE FRATELLI CAIROLI;Viale Fratelli Cairoli
VIA FRATELLI BENVENUTO;Via Fratelli Benvenuto
VIALE FRATELLI BANDIERA;Viale Fratelli Bandiera
VIALE FRANCIA;Viale Francia
VIA ALBERTO FRANCHETTI;Via Alberto Franchetti
VIALE FRA' GIOCONDO;Viale fra' Giocondo
VIA FRA' GIOCONDO;Via fra' Giocondo
VICOLO FOSSAGGERA;Vicolo Fossaggera
VIA FOSSAGGERA;Via Fossaggera
VIA UGO FOSCOLO;Via Ugo Foscolo
VIA MARCO FOSCARINI;Via Marco Foscarini
VIA OLIVIERO FORZETTA;Via Oliviero Forzetta
VIA FORNACI GUERRA E GREGORJ;Via Fornaci Guerra e Gregorj
VIA FONTANE;Via Fontane
STRADA FOIANA;Strada Foiana
VIA ANTONIO FOGAZZARO;Via Antonio Fogazzaro
VIA MARIO FIORE;Via Mario Fiore
VIA FABIO FILZI;Via Fabio Filzi
VIA MARCELLO FILOSSENO;Via Marcello Filosseno
VIA FERRO DA CAVALLO;Via Ferro da Cavallo
VIA FERDINANDO FERRETTON;Via Ferdinando Ferretton
VIA ANGELO FERRETTO;Via Angelo Ferretto
VIA FRANCESCO SCIPIONE FAPANNI;Via Francesco Scipione Fapanni
VICOLO FAGARE';Vicolo Fagarè
VIA EVEREST;Via Everest
VIA GIULIO ETTORE ERLER;Via Giulio Ettore Erler
VIA ERITREA;Via Eritrea
VIA ERACLEA;Via Eraclea
VIA LUIGI ELLERO;Via Luigi Ellero
VICOLO PIAVESELLA;Vicolo Piavesella
VICOLO PIAVE;Vicolo Piave
VIA PESCHERIA;Via Pescheria
VIA PESCATORI;Via Pescatori
VIA PIER MARIA PENNACCHI;Via Pier Maria Pennacchi
VIA SILVIO PELLICO;Via Silvio Pellico
VIA CALABRIA;Via Calabria
VIA COSTANTE CHIMENTON;Via Costante Chimenton
VIA AZZI ENRICO;Via Azzi Enrico
VIA BEZZECCA;Via Bezzecca
VIA ASOLO;Via Asolo
VIA ANTIGA;Via Antiga
VIA PAOLA DRIGO;Via Paola Drigo
VICOLO A FONTANE;Vicolo Fontane A
VICOLO GIOVANNI GIROTTO;Vicolo Giovanni Girotto
VIA CARTIERETTA;Via Cartieretta
VICOLO GRANATIERI DI SARDEGNA;Vicolo Granatieri di Sardegna
VIA VITTORIO LOCCHI;Via Vittorio Locchi
VICOLO QUATTRO NOVEMBRE;Vicolo Quattro novembre
VICOLO BIVIO MOTTA;Vicolo Bivio Motta
VIA DARIO DA TREVISO;Via Dario da Treviso
VICOLO CALLALTA;Vicolo Callalta
VIA GIAN LORENZO BERNINI;Via Gian Lorenzo Bernini
BRETELLA DELLE STIORE;Bretella delle Stiore
VIA VARCO SANTA BONA;Via Varco Santa Bona
VICOLO C PALUDETTI;Vicolo Paludetti C
VICOLO TEZZONE;Vicolo Tezzone
VIA GIOVANNI PASCOLI;Via Giovanni Pascoli
VICOLO AVOGARI;Vicolo Avogari
VIA GIOVANNI BATTISTA CERVELLINI;Via Giovanni Battista Cervellini
VIA CAVINI;Via Cavini
VIA PIETRO BEMBO;Via Pietro Bembo
VIALE CACCIATORI;Viale Cacciatori
VIA DON LUIGI MONZA;Via don Luigi Monza
VIA VINCENZO BELLINI;Via Vincenzo Bellini
VIA DELLE MUNEGHE;Via delle Muneghe
VIA DELL' OLMO;Via dell'Olmo
VIA BEATO ENRICO DA BOLZANO;Via Beato Enrico da Bolzano
PIAZZA DELLA DOGANA;Piazza della Dogana
VIA 13 LUGLIO 1921;Via 13 luglio 1921
VIA UMBERTO CAGNI;Via Umberto Cagni
VIA MONSIGNORE GIUSEPPE LIBERALI;Via monsignor Giuseppe Liberali
VICOLO CORTI;Vicolo delle Corti
VIA ADELAIDE RISTORI;Via Adelaide Ristori
VIA SAN MICHELE;Via San Michele
VICOLO RINALDI;Vicolo Rinaldi
VICOLO SPINEDA;Vicolo Spineda
VICOLO DEL VENTO;Vicolo del Vento
BORGO DOMENICO CAPRIOLO;Borgo Domenico Capriolo
RIVALE FILODRAMMATICI;Rivale Filodrammatici
VICOLO GIOVANNI BONIFACIO;Vicolo Giovanni Bonifacio
PIAZZA GIUSEPPE GARIBALDI;Piazza Giuseppe Garibaldi
VIA BAINSIZZA;Via Bainsizza
VIA DELLO SQUERO;Via dello Squero
VIA GIUSEPPE GRADENIGO;Via Giuseppe Gradenigo
VIA ENRICO DUNANT;Via Enrico Dunant
VIA DAMIANO CHIESA;Via Damiano Chiesa
VIA LUIGI CHIEREGHIN;Via Luigi Chiereghin
VIA LORENZO CELSI;Via Lorenzo Celsi
BORGO CAVOUR;Borgo Cavour
STRADA CAVASIN;Strada Cavasin
BORGO CAVALLI;Borgo Cavalli
VIA CAVALLEGGERI TREVISO;Via Cavalleggeri di Treviso
VIA LUIGI CATTARIN;Via Luigi Cattarin
VICOLO CARLO CATTANEO;Vicolo Carlo Cattaneo
VIA CARLO CATTANEO;Via Carlo Cattaneo
VIA CASTELCUCCO;Via Castelcucco
VIA CARTERA;Via Cartera
VIA CARLO ALBERTO;Via Carlo Alberto
VIA DOMENICO CAPRETTA;Via Domenico Capretta
VIA CAPODISTRIA;Via Capodistria
VIA GENERALE ANTONIO CANTORE;Via generale Antonio Cantore
VIA CANTARANE;Via Cantarane
VIA ANTONIO CANOVA;Via Antonio Canova
VIA CANONICHE;Via Canoniche
VIA CANONICA;Via Canonica
VIA GIOVANNI BOCCACCIO;Via Giovanni Boccaccio
VIA BIVIO MOTTA;Via Bivio Motta
VIA GIUSEPPE BERNARDINO BISON;Via Giuseppe Bernardino Bison
VIA GIUSEPPE E VINCENZO BINDONI;Via Giuseppe e Vincenzo Bindoni
VIA BIBANO;Via Bibano
VIA VINCENZO BIANCHINI;Via Vincenzo Bianchini
VIA PIETRO BERTOLINI;Via Pietro Bertolini
VIA ANTONIO BERLESE;Via Antonio Berlese
VIA GUGLIELMO BERGAMASCO;Via Guglielmo Bergamasco
VIA FERRUCCIO BENINI;Via Ferruccio Benini
VIA FRANCESCO BENAGLIO;Via Francesco Benaglio
VIA FRANCESCO BECCARUZZI;Via Francesco Beccaruzzi
VIA AGOSTINO BEAZZANO;Via Agostino Beazzano
VIA BASTIA;Via Bastia
VIA BARBERIA;Via Barberia
VIA ERMOLAO BARBARO;Via Ermolao Barbaro
VICOLO FRANCESCO BARACCA;Vicolo Francesco Baracca
VIA VITTORIO BACHELET;Via Vittorio Bachelet
VIA AVOGARI;Via Avogari
VIA ASIAGO;Via Asiago
VIA AQUILEIA;Via Aquileia
VIA CAMPANIA;Via Campania
VIA CAMPANA;Via Campana
VICOLO CAL DI BREDA;Vicolo Cal di Breda
VIA CAL DI BREDA;Via Cal di Breda
VIA CADORE;Via Cadore
VIA SEBASTIANO CABOTO;Via Sebastiano Caboto
VIALE BARTOLOMEO BURCHIELLATI;Viale Bartolomeo Burchiellati
VIA BURANELLI;Via Buranelli
VIA FILIPPO BRUNELLESCHI;Via Filippo Brunelleschi
VIA VITTORIO BRAGADIN;Via Vittorio Bragadin
VIA BOTTENIGA;Via Botteniga
VIA UGO BOTTACIN;Via Ugo Bottacin
VIA BOSCHETTO;Via Boschetto
VIA FRANCESCO BOMBEN;Via Francesco Bomben
VIA BOLZANO;Via Bolzano
VIA ARRIGO BOITO;Via Arrigo Boito
VIA PAOLO APROINO;Via Paolo Aproino
VIALE GRAZIANO APPIANI;Viale Graziano Appiani
VIA GIOVANNI APOLLONIO;Via Giovanni Apollonio
PIAZZA GIANNINO ANCILOTTO;Piazza Giannino Ancilotto
VIA POMPONIO AMALTEO;Via Pomponio Amalteo
VIA AMALFI;Via Amalfi
VIA ALZAIA;Via Alzaia
VIA DEGLI ALPINI;Via degli Alpini
STRADA ALLE CAPITELLE;Strada alle Capitelle
VIA VITTORIO ALFIERI;Via Vittorio Alfieri
VIA ALEARDO ALEARDI;Via Aleardo Aleardi
VIA ALBONA;Via Albona
VIA ABRUZZO;Via Abruzzo
VIA 14 MAGGIO 1944;Via 14 Maggio 1944
VIA ELISABETTA CONTARINI;Via Elisabetta Contarini
VIA BATTAGLIONE FELTRE;Via Battaglione Feltre
VIA CISOLE;Via Cisole
PIAZZA RINALDI;Piazza Rinaldi
VIA TOMMASINI;Via Tommasini
VIA LEGNANO;Via Legnano
VIA MARCANTONIO FLAMINIO;Via Marcantonio Flaminio
VIA BAGATTINO;Via Bagattino
VIA JACOPO PALMA IL GIOVANE;Via Jacopo Palma il Giovane
VIA SIMONE DA MONTONA;Via Simone da Montona
VIA SAN FRANCESCO;Via San Francesco
VIA CORNAINO;Via Cornaino
VIA FRANCESCO FOSCARI;Via Francesco Foscari
VIA NICOLO' FRANCO;Via Nicolò Franco
VIA ARMANDO DIAZ;Via Armando Diaz
VIA GENERALE ANGELO MENGALDO;Via generale Angelo Mengaldo
LARGO PORTA ALTINIA;Largo di Porta Altinia
VICOLO FRATELLI BANDIERA;Vicolo Fratelli Bandiera
PIAZZA INDIPENDENZA;Piazza Indipendenza
VICOLO DELLE ABSIDI;Vicolo delle Absidi
VIA DOMENICO MARIA FEDERICI;Via Domenico Maria Federici
VIA GIACINTO GALLINA;Via Giacinto Gallina
VIA FRANCESCO DALL' ONGARO;Via Francesco dall'Ongaro
LUNGOFIUME CERCA;Lungofiume Cerca
VIA ARNALDO FUSINATO;Via Arnaldo Fusinato
VIA FORTE MARGHERA;Via Forte Marghera
VIA GASPARA STAMPA;Via Gaspara Stampa
VIA GIOVANNI BATTISTA RAMUSIO;Via Giovanni Battista Ramusio
VICOLO B MONTELLO;Vicolo Montello B
VICOLO A MONTELLO;Vicolo Montello A
VIA BARTOLOMEO ZUCCATO;Via Bartolomeo Zuccato
VIA GIOVANNI MARIA MALIMPENSA;Via Giovanni Maria Malimpensa
VICOLO NOALESE;Vicolo Noalese
VIA GIUSEPPE MENEGAZZI;Via Giuseppe Menegazzi
VIA DELL' ASILO;Via dell'Asilo
VIA GIULIO TRENTO;Via Giulio Trento
PONTE FRA' GIOCONDO;Ponte fra' Giocondo
PIAZZA SILVIO TRENTIN;Piazza Silvio Trentin
VIA VARCO FILIPPINI;Via Varco Filippini
VIA MONTEBELLUNA;Via Montebelluna
VIA TITO LIVIO;Via Tito Livio
VIA PAOLO DIACONO;Via Paolo Diacono
VIA ROSALBA CARRIERA;Via Rosalba Carriera
VIA FAZIO DEGLI UBERTI;Via Fazio degli Uberti
VIA GENERALE GIUSEPPE VACCARI;Via generale Giuseppe Vaccari
PIAZZETTA DELLA TORRE;Piazzetta della Torre
VICOLO SAN LEONARDO;Vicolo San Leonardo
VIA CIRENAICA;Via Cirenaica
CORTE SAN PARISIO;Corte San Parisio
VICOLO CARLO ALBERTO;Vicolo Carlo Alberto
PIAZZA EX CONVENTO CAPPUCCINE;Piazza Ex Convento Cappuccine
GALLERIA D' ALVIANO;Galleria d'Alviano
VIA NICOLO' CAPPONI;Via Nicolò Capponi
STRADELLA A INTERNA;Stradella Interna A
VICOLO PIETRO PALEOCAPA;Vicolo Pietro Paleocapa
VIA ILARIO RIGO;Via Ilario Rigo
VIA FRATELLI AGOSTI;Via Fratelli Agosti
VICOLO A SANT' ANTONINO;Vicolo Sant'Antonino A
VIA GIAMBATTISTA ZELOTTI;Via Giambattista Zelotti
VIA TEODORO DE LELLIS;Via Teodoro de Lellis
VICOLO SANT' ANGELO;Vicolo Sant'Angelo
VIA GIUSEPPE PARINI;Via Giuseppe Parini
VIA ERCOLE SMANIOTTO;Via Ercole Smaniotto
VIA CADUTI SUL LAVORO;Via Caduti sul Lavoro
VIA VARCO SAN BARTOLOMEO;Via Varco San Bartolomeo
PIAZZALE OSPEDALE;Piazzale Ospedale
VIA FILIPPINI;Via Filippini
SOTTOPORTICO TEATRO DOLFIN;Sottoportico Teatro Dolfin
VIA GENERALE AUGUSTO VANZO;Via generale Augusto Vanzo
PIAZZALE MICHELANGELO;Piazzale Michelangelo
VICOLO GEROLAMO BISCARO;Vicolo Gerolamo Biscaro
VIA GEROLAMO BISCARO;Via Gerolamo Biscaro
PIAZZALE PISTOIA;Piazzale Pistoia
VIA SAN PANCRAZIO;Via San Pancrazio
VIA CHIARANO;Via Chiarano
VIA CIMA DA CONEGLIANO;Via Cima da Conegliano
VIA GEROLAMO BOLOGNI;Via Girolamo Bologni
VIA PIETRO BURATTI;Via Pietro Buratti
VIA FOSSE ARDEATINE;Via Fosse Ardeatine
VICOLO LODOVICO FIUMICELLI;Vicolo Lodovico Fiumicelli
CALLE DEL PODESTA';Calle del Podestà
VIA SCHIAVONIA;Via Schiavonia
VIA ISOLA DELLA PESCHERIA;Via Isola della Pescheria
VICOLO MOLINETTO;Vicolo Molinetto
VICOLO ALFREDO ORIANI;Vicolo Alfredo Oriani
VIA GENERALE ALESSANDRO GUIDOTTI;Via generale Alessandro Guidotti
PIAZZA GIACOMO MATTEOTTI;Piazza Giacomo Matteotti
PIAZZA SAN LEONARDO;Piazza San Leonardo
VICOLO SANTA MARGHERITA;Vicolo Santa Margherita
VIA LORENZO LOTTO;Via Lorenzo Lotto
VIA DEI ROVERI;Via dei Roveri
STRADELLA C INTERNA;Stradella Interna C
VIA GIAMBATTISTA PIRANESI;Via Giambattista Piranesi
VIA GIOVANNI ANTONIO PORDENONE;Via Giovanni Antonio Pordenone
VIA CONCORDIA;Via Concordia
VIA ZENSON DI PIAVE;Via Zenson di Piave
VIA PIETRO D' ASOLO;Via Pietro d'Asolo
VIA CITTANOVA;Via Cittanova
VIA ANDREA PREVITALI;Via Andrea Previtali
VIA CARLO LASINIO;Via Carlo Lasinio
VIA MEDORO COGHETTO;Via Medoro Coghetto
VIA TOMMASO CATULLO;Via Tommaso Catullo
VIA TERESA MENGHI;Via Teresa Menghi
PORTA CARLO ALBERTO;Porta Carlo Alberto
VIA BRANDOLINI D' ADDA BRANDOLINO;Via Brandolino Brandolini d'Adda
VIALE JACOPO TASSO;Viale Jacopo Tasso
LARGO ALCIDE DE GASPERI;Largo Alcide De Gasperi
PIAZZA DELLA BORSA;Piazza della Borsa
VICOLO SANT' AGOSTINO;Vicolo Sant'Agostino
VIA TEZZONE;Via Tezzone
VICOLO DELL' OLIVA;Vicolo dell'Oliva
VIA MARTIRI DELLA LIBERTA';Via Martiri della Libertà
VICOLO PESCHERIA;Vicolo Pescheria
VICOLO GIUSEPPE BIANCHETTI;Vicolo Giuseppe Bianchetti
VICOLO OSPEDALE PROVINCIALE;Vicolo Ospedale Provinciale
VIA ANDREA BON;Via Andrea Bon
VIA COMUNI DEI BISCARI;Via Comuni dei Biscari
VIA COMMENDA;Via Commenda
VIA FRANCESCO COLONNA;Via Francesco Colonna
VIA COLLALTO;Via Collalto
VIA LUIGI COLETTI;Via Luigi Coletti
VIA COL DI LANA;Via Col di Lana
VIA LUIGIA CODEMO;Via Luigia Codemo
VIA CIMITERO SAN LAZZARO;Via Cimitero San Lazzaro
VIA GIAN MARIA CIASSI;Via Gian Maria Ciassi
VIA GUGLIELMO CIARDI;Via Guglielmo Ciardi
VIA EMILIO ZANETTE;Via Emilio Zanette
VIA LEONARDO LOREDAN;Via Leonardo Loredan
VIA XX SETTEMBRE;Via Venti Settembre
RIVIERA GIUSEPPE GARIBALDI;Riviera Giuseppe Garibaldi
VIA NEVRA GARATTI;Via Nevra Garatti
VICOLO C FELTRINA;Vicolo Feltrina C
VIA DON GIOVANNI MINZONI;Via don Giovanni Minzoni
PIAZZALE COSTITUZIONE;Piazzale Costituzione
VIA CALLISTO PATRIARCA;Via Callisto Patriarca
VIA WLADIMIRO PAOLI;Via Wladimiro Paoli
PONTE SANTA MARGHERITA;Ponte Santa Margherita
VIA SANTA BERTILLA BOSCARDIN;Via Santa Bertilla Boscardin
PIAZZA DELLA VITTORIA;Piazza della Vittoria
VIALE SANT' ANTONIO DA PADOVA;Viale Sant'Antonio da Padova
VIA PANFILO CASTALDI;Via Panfilo Castaldi
VIA GAETANO ZOMPINI;Via Gaetano Zompini
VIA OLANDA;Via Olanda
VIA BEATA GIULIANA DI COLLALTO;Via Beata Giuliana di Collalto
VICOLO CONCORDIA;Vicolo Concordia
VICOLO CONVERTITE;Vicolo Convertite
VICOLO ISOLA DI MEZZO;Vicolo Isola di Mezzo
VIA ANDREA GIACINTO LONGHIN;Via Andrea Giacinto Longhin
VIA SAN PARISIO;Via San Parisio
RIVA DEL CAGNAN GIOVANNI COMISSO;Riva del Cagnan Giovanni Comisso
GALLERIA DELLA TORRE;Galleria della Torre
VIA DON NICOLA MAZZA;Via don Nicola Mazza
VIA CASA DELLE BOTTERE;Via Casa delle Bottere
VIA DANIMARCA;Via Danimarca
VICOLO POLA;Vicolo Pola
VIA ANGELO GARBIZZA;Via Angelo Garbizza
VIA CASTELFRANCO VENETO;Via Castelfranco Veneto
PIAZZA FRANCESCO CRISPI;Piazza Francesco Crispi
PIAZZA POLA;Piazza Pola
VICOLO BARBERIA;Vicolo Barberia
VICOLO A PALUDETTI;Vicolo Paludetti A
VIA LUIGI PASTRO;Via Luigi Pastro
VIA DANIELE CHINAZZO;Via Daniele Chinazzo
VICOLO LUIGI COLETTI;Vicolo Luigi Coletti
VIA REGGIMENTO ITALIA LIBERA;Via Reggimento Italia Libera
VIA LUIGI BAILO;Via Luigi Bailo
VICOLO BROLI;Vicolo Broli
VIA LUIGI LUCATELLO;Via Luigi Lucatello
VIA DEI CAMPI SPORTIVI;Via dei Campi Sportivi
VIA LE CANEVARE;Via Le Canevare
VIA DON GIACOMO ALBERIONE;Via don Giacomo Alberione
VIA GIUSEPPE CORAZZIN;Via Giuseppe Corazzin
VIA SANTA TERESINA DEL BAMBIN GESU';Via Santa Teresina del Bambin Gesu'
VIA FRANCESCO CORTESE;Via Francesco Cortese
VICOLO XX SETTEMBRE;Vicolo Venti Settembre
VICOLO DEI DALL' ORO;Vicolo dei dall'Oro
VIA BRESSA;Via Bressa
PIAZZA FILODRAMMATICI;Piazza Filodrammatici
VICOLO MARCO POLO;Vicolo Marco Polo
VIA ANDREA PALLADIO;Via Andrea Palladio
VICOLO CAVINI;Vicolo Cavini
VIA ANGELO EMO;Via Angelo Emo
VIALE ALCIDE DE GASPERI;Viale Alcide De Gasperi
VICOLO DOTTI;Vicolo Dotti
PIAZZA SANTA MARIA DEI BATTUTI;Piazza Santa Maria dei Battuti
VIA GIUSEPPE BIANCHETTI;Via Giuseppe Bianchetti
PIAZZA SANT' ANDREA;Piazza Sant'Andrea
VIA NICOLO' DE ROSSI;Via Nicolò de Rossi
VIA LORENZO PEROSI;Via Lorenzo Perosi
VIA ACHILLE PAPA;Via Achille Papa
PASSERELLA ONIGO;Passerella Onigo
VIA LUIGI SUGANA;Via Luigi Sugana
PIAZZA SANTA MARIA MAGGIORE;Piazza Santa Maria Maggiore
BASTIONI SAN PAOLO;Bastioni San Paolo
GALLERIA RIALTO;Galleria Rialto
PIAZZETTA DEI LOMBARDI;Piazzetta dei Lombardi
GALLERIA DANIELE MANIN;Galleria Daniele Manin
VICOLO PESCATORI;Vicolo Pescatori
RIVALE SANT' ANDREA;Rivale Sant'Andrea
VICOLO BORTOLAN;Vicolo Bortolan
PIAZZA DELL' UNIVERSITA';Ponte delle Università
VIA PORTICO OSCURO;Via Portico Oscuro
VIA DEGLI SCALIGERI;Via degli Scaligeri
VICOLO SANTA MARIA DEI BATTUTI;Vicolo Santa Maria dei Battuti
VICOLO FIUME;Vicolo Fiume
VIA GUSTAVO BADINI;Via Gustavo Badini
VIA CARLO BORTOLATO;Via Carlo Bortolato
VIA PRIMO VISENTIN;Via Primo Visentin
VIA CIMITERO DI MONIGO;Via Cimitero di Monigo
VICOLO DEL CRISTO;Vicolo del Cristo
VIA ROSA BORTOLAN;Via Rosa Bortolan
VIA ANTONIADI MAUROCORDATO;Via Alessandro Maurocordato Antoniadi
VIA BRUNO LATTES;Via Bruno Lattes
VIA DON GAETANO MENEGHINI;Via don Gaetano Meneghini
VIA NOGARE';Via Nogarè
VIA MASER;Via Maser
VIA PIETRO MASCAGNI;Via Pietro Mascagni
VIA GIACOMO PUCCINI;Via Giacomo Puccini
VIA TOTI DAL MONTE;Via Toti dal Monte
VIA GIOACCHINO ROSSINI;Via Gioacchino Rossini
VIA LUIGI DE GOBBIS;Via Luigi de Gobbis
VIA NICOLO' PAGANINI;Via Nicolò Paganini
VIA PAPA LEONE III;Via Papa Leone III
VIA PADOVA;Via Padova
VIA INDIPENDENZA;Via Indipendenza
VIA DOBERDO';Via Doberdò
VIA VITTORINO DA FELTRE;Via Vittorino da Feltre
VIA SANT' ANDREA;Via Sant'Andrea
PORTA CALVI;Porta Calvi
VIA SAN VITO;Via San Vito
VIA FRANCESCO SABATUCCI;Via Francesco Sabatucci
VIA GIACOMO CAMILLO DE CARLO;Via Giacomo Camillo de Carlo
VICOLO ANDREA LUCCHESI;Vicolo Andrea Lucchesi
VIA GENERALE GIUSEPPE PENNELLA;Via generale Giuseppe Pennella
VIA CASTELLANO DI SALOMONE;Via Castellano di Salomone
VIA GEROLAMO ALEANDRO;Via Gerolamo Aleandro
VIA GIROLAMO DA TREVISO;Via Girolamo da Treviso
VIA GUALPERTINO DA CODERTA;Via Gualpertino da Coderta
PIAZZA ANGELO GIUSTINIAN RECANATI;Piazza Angelo Giustinian Recanati
VICOLO NERVESA DELLA BATTAGLIA;Vicolo Nervesa della Battaglia
PIAZZA SAN FRANCESCO;Piazza San Francesco
VIA GIAN BATTISTA CANAL;Via Gian Battista Canal
VICOLO CANIZZANO;Vicolo Canizzano
VIA SAN LEONARDO;Via San Leonardo
VIA MORIAGO DELLA BATTAGLIA;Via Moriago della Battaglia
PIAZZA SAN PIO X;Piazza San Pio decimo
VIA LORENZO BREGNO;Via Lorenzo Bregno
VICOLO DELLA TORRE;Vicolo della Torre
VIA PAOLO MARZOLO;Via Paolo Marzolo
PIAZZETTA BENEDETTO XI;Piazzetta Benedetto undicesimo
VICOLO STANGADE;Vicolo Stangade
PORTA PIAVE;Porta Piave
VIA HERMADA;Via Hermada
VIA MARCO PENSABEN;Via Marco Pensaben
VIA ELEONORA DUSE;Via Eleonora Duse
VIA ANTONIO CACCIANIGA;Via Antonio Caccianiga
VIA GORIZIA;Via Gorizia
VIA FILODRAMMATICI;Via Filodrammatici
VIA LUIGI BORRO;Via Luigi Borro
VIA EGIDIO FORCELLINI;Via Egidio Forcellini
VICOLO C SAN PELAIO;Vicolo San Pelaio C
VIA POMPILIO SUDESSI;Via Pompilio Sudessi
VIA ALDO FANTINA;Via Aldo Fantina
VIA GIOVANNI MASUTTO;Via Giovanni Masutto
VICOLO D SAN PELAIO;Vicolo San Pelaio D
VIA MUGGIA;Via Muggia
VIA OSSERO;Via Ossero
VIA GRADO;Via Grado
VIA RAGUSA;Via Ragusa
VIA TEODORICO E TEODOLFO TESSARI;Via Teodorico e Teodolfo Tessari
VIA ENSELMINO DA MONTEBELLUNA;Via Enselmino da Montebelluna
VIA GIOVANNI PINADELLO;Via Giovanni Pinadello
VIA ALCESTE TORSELLI;Via Alceste Torselli
VICOLO A SAN PELAIO;Vicolo San Pelaio A
VIA GAIA DA CAMINO;Via Gaia da Camino
VIA AUTIERI D' ITALIA;Via Autieri d'Italia
VICOLO FRATELLI SCOTTI;Vicolo Fratelli Scotti
VICOLO COSTANTE GRIS;Vicolo Costante Gris
VICOLO MONTE GRAPPA;Vicolo Monte Grappa
VICOLO MONFENERA;Vicolo Monfenera
VICOLO CASTELLO D' AMORE;Vicolo Castello d'Amore
VICOLO SIORA ANDRIANA DEL VESCOVO;Vicolo Siora Andriana del Vescovo
VICOLO GASPARE GOZZI;Vicolo Gaspare Gozzi
VICOLO EUGENIO ROTA;Vicolo Eugenio Rota
PIAZZA MARTIRI DI BELFIORE;Piazza Martiri di Belfiore
VIA TEATRO DOLFIN;Via Teatro Dolfin
VIA ORTAZZO;Via Ortazzo
VICOLO SAN GREGORIO;Vicolo San Gregorio
VICOLO CAMPANA;Vicolo Campana
VIA PIETRO GOBETTI;Via Pietro Gobetti
VICOLO JACOPO RICCATI;Vicolo Jacopo Riccati
VIA DEI CAMINESI;Via dei Caminesi
VIA LODOVICO BARBO;Via Lodovico Barbo
VIA JACOPO BONFADINI;Via Jacopo Bonfadini
VIALE LUIGI CADORNA;Viale Luigi Cadorna
VIA ANDREA MANTEGNA;Via Andrea Mantegna
PIAZZETTA MARIO BOTTER;Piazzetta Mario Botter
VIA AGLAIA ANASSILIDE;Via Aglaia Anassilide
VICOLO PIER ANDREA SACCARDO;Vicolo Pier Andrea Saccardo
VIA ANGELO GIUSTINIAN RECANATI;Via Angelo Giustinian Recanati
VIA CARLO ROSSELLI;Via Carlo Rosselli
VICOLO CAPOSILE;Vicolo Caposile
VIA SANTA CHIARA;Via Santa Chiara
RIVALE CASTELVECCHIO;Rivale Castelvecchio
VIA ANGELO DALMISTRO;Via Angelo Dalmistro
VICOLO B FELTRINA;Vicolo Feltrina B
VICOLO XXIV MAGGIO;Vicolo Ventiquattro Maggio
VIA TRIPOLITANIA;Via Tripolitania
VIA ITALICO CAPPELLOTTO;Via Italico Cappellotto
VIA GIOVANNI BONIFACIO;Via Giovanni Bonifacio
VICOLO SAN MICHELE;Vicolo San Michele
PORTA SANTI QUARANTA;Porta Santi Quaranta
VICOLO TRENTO E TRIESTE;Vicolo Trento e Trieste
VICOLO B PALUDETTI;Vicolo Paludetti B
VIA POLA;Via Pola
PIAZZA DEI SIGNORI;Piazza dei Signori
VIA FRA' CLAUDIO GRANZOTTO;Via fra' Claudio Granzotto
VIA GIUSEPPE TORRETTI;Via Giuseppe Torretti
VIA GUIDO NEGRI;Via Guido Negri
VIA GIOVANNI BATTISTA MARCHIORI;Via Giovanni Battista Marchiori
VIA CONEGLIANO;Via Conegliano
VIA GIOVANNI ANTONIO SCOPOLI;Via Giovanni Antonio Scopoli
VIA ADA NEGRI;Via Ada Negri
