INDIRIZZI PRESENTI IN OSM MA NON NELLA TOPONOMASTICA:
NB: ALCUNI DI QUESTI INDIRIZZI SI TROVANO SOPRA IL CONFINE DELLA CITTA', QUINDI SONO GLI INDIRIZZI DELLE CITTA' CONFINANTI.
Viale Maserada
Via Luigi Galvani
Via Principale
Via Fiume
Via San Vitale
Accesso Edificio 9
Via Treforni
Parcheggio Cantarane
Sentiero Case Piavone - Sant'Artemio
Accesso Edificio 4
Accesso Edificio 3
Via Santa Bona Nuova
Via Giuriati
Accesso Edificio 8
Accesso Edificio 10
Accesso Edificio 22
Sentiero La Madonnetta - Sant'Artemio
Via Sante Casanova
Via Livello
Via Bacchina
Via Giovanni Comisso
Ponte Ottavio Ottavi
Via Munara
Treviso Mare
Via Aldo Moro
Piazza dell'Università
