DEBUG;NOME_VIA;NOME_NORM;DIST
0;Contra' San Silvestro;Contra' San Silvestro;1.0
0;Via Gabriele D'Annunzio;Via Gabriele D'Annunzio;1.0
2;Via P. Scarcerle;Via Pietro Scalcerle;
0;Via Lorenzoni Antonio;Via Antonio Lorenzoni;1.0
1;Via O. Calderari;Via Ottone Calderari;0.666666666667
0;Viale Cialdini Enrico;Viale Enrico Cialdini;1.0
2;Vialetto F.M. Mistrorigo;Vialetto Federico Maria Mistrorigo;
0;Via Btg. Vicenza;Via Battaglione Vicenza;1.0
0;Contra' Ponte Novo;Contra' Ponte Novo;1.0
0;Via delle Due Ferrate;Via delle Due Ferrate;1.0
0;Via Beltrame Achille;Via Achille Beltrame;1.0
1;Via Gandhi;Via Gandhi;1.0
1;Via Pioppi;Via dei Pioppi;0.816496580928
1;Viale Milano;Viale Milano;1.0
1;Via Castelfidardo;Via Castelfidardo;1.0
0;Via Konrad Adenauer;Via Konrad Adenauer;1.0
1;Via C. Farini;Via Luigi Carlo Farini;0.666666666667
2;Via Tormeno;Strada del Tormeno;
0;Via San Desiderio;Via San Desiderio;1.0
0;Via Battaglione Vestone;Via Battaglione Vestone;1.0
1;Via Maccagini Carolina;Via Carolina Maccagnini;0.666666666667
0;Via Luciano Manara;Via Luciano Manara;1.0
0;Via dell'Oreficeria;Via dell'Oreficeria;1.0
0;Via Bevilacqua Antonio;Via Antonio Bevilacqua;1.0
1;Via A. Depretis;Via Agostino Depretis;0.666666666667
1;Via G. Allegri;Via Gino Allegri;0.666666666667
0;Contra' Mure San Domenico;Contra' Mure San Domenico;1.0
0;Stradella delle Cappuccine;Stradella delle Cappuccine;1.0
1;Via Palestro;Via Palestro;1.0
0;Via Bassani Francesco;Via Francesco Bassani;1.0
0;Via Abriani Paolo;Via Paolo Abriani;1.0
1;Via Muggia;Via Muggia;1.0
0;Strada Padana verso Verona;Strada Padana verso Verona;1.0
1;Piazza Duomo;Piazza del Duomo;0.816496580928
0;Stradella dei Sangiovanni;Stradella dei Sangiovanni;1.0
1;Via C. Poerio;Via Carlo Poerio;0.666666666667
1;Via C. Monteverdi;Via Claudio Monteverdi;0.666666666667
2b;Via Guglielmo Pecori Giraldi;Viale Guglielmo Pecori Giraldi;0.866666666667
0;Piazzola San Giuseppe;Piazzola San Giuseppe;1.0
0;Strada delle Cattane;Strada delle Cattane;1.0
2;Via G. B. Mugna;Via Giovanni Battista Mugna;
0;Via Giuseppe Giulietti;Via Giuseppe Giulietti;1.0
0;Via Zancon Gaetano;Via Gaetano Zancon;1.0
0;Via Nievo Giambattista;Via Giambattista Nievo;1.0
0;Via Facchinetti Giuseppe;Via Giuseppe Facchinetti;1.0
0;Via Tadiotto Umberto;Via Umberto Tadiotto;1.0
2b;Via De Ferretti;Via Ferreto de Ferreti;0.898392857143
0;Via Sauro Nazario;Via Nazario Sauro;1.0
2;Via Tribolo;Via Tribolo;
0;Strada Ponte del Bo';Strada Ponte del Bo;1.0
0;Via Francesco Rismondo;Via Francesco Rismondo;1.0
0;Via Col d'Echele;Via Col d'Echele;1.0
0;Stradella Santi Apostoli;Stradella Santi Apostoli;1.0
1;Via F. Costalunga;Via Fiorenzo Costalunga;0.666666666667
1;Via Pisino;Via Pisino;1.0
0;Strada della Coltura Camisana;Strada della Coltura Camisana;1.0
0;Via Galileo Galilei;Via Galileo Galilei;1.0
0;Via Musocco Giuseppe;Via Giuseppe Musocco;1.0
0;Via Giovanni Durando;Via Giovanni Durando;1.0
0;Via Eugenio Montale;Via Eugenio Montale;1.0
0;Corso Antonio Fogazzaro;Corso Antonio Fogazzaro;1.0
0;Via Faccioli Giantommaso;Via Giantommaso Faccioli;1.0
2b;Via Ponte Storto;Via Ponte Storto;0.0
0;Via Brigata Forlì;Via Brigata Forlì;1.0
0;Via Ferdinando Magellano;Via Ferdinando Magellano;1.0
2a;Via E. Dandolo;Via Enrico Dandolo;0.816496580928
0;Via Ca' Alte;Via Ca' Alte;1.0
0;Piazzale Casa Nostra;Piazzale Casa Nostra;1.0
0;Via Schiavo Alessandro;Via Alessandro Schiavo;1.0
0;Via Cimarosa Domenico;Via Domenico Cimarosa;1.0
1;Via Cormons;Via Cormons;1.0
0;Stradella del Duomo;Stradella del Duomo;1.0
0;Via 24 Maggio;Via Ventiquattro Maggio;1.0
0;Strada della Parolina;Strada della Parolina;1.0
0;Via Nicolò Vicentino;Via Nicolò Vicentino;1.0
0;Via Varese Casimiro;Via Casimiro Varese;1.0
0;Strada delle Maddalene;Strada delle Maddalene;1.0
0;Viale Divisione Julia;Viale Divisione Julia;1.0
1;Via Curtatone;Via Curtatone;1.0
0;Via Pietro Mascagni;Via Pietro Mascagni;1.0
0;Strada San Pietro Intrigogna;Strada San Pietro Intrigogna;1.0
0;Via Munarini Francesco;Via Francesco Munarini;1.0
0;Via Lago di Pusiano;Via Lago di Pusiano;1.0
0;Viale Arturo Ferrarin;Viale Arturo Ferrarin;1.0
0;Levà degli Angeli;Leva' degli Angeli;1.0
0;Galleria del Pozzo Rosso;Galleria del Pozzo Rosso;1.0
2;Via Cavour;Via Cavour;
0;Via Legione Antonini;Via Legione Antonini;1.0
2;Strada privata Garden Filippi;Via Lago Maggiore;
2;ponte Pusterla;Ponte Pusterla;
0;Via Verci Giambattista;Via Giambattista Verci;1.0
0;Piazzale della Vittoria;Piazzale della Vittoria;1.0
0;Via Giuseppe Parini;Via Giuseppe Parini;1.0
0;Contrà del Monte;Contra' del Monte;1.0
1;Via Tre Scalini;Stradella Tre Scalini;0.666666666667
0;Via Campiglia Maddalena;Via Maddalena Campiglia;1.0
1;Via M. Polo;Via Marco Polo;0.666666666667
0;Via Bertolo Giovanni Maria;Via Giovanni Maria Bertolo;1.0
0;Strada della Carpaneda;Strada della Carpaneda;1.0
0;Via Mozzi Antonio;Via Antonio Mozzi;1.0
0;Stradella Santa Barbara;Stradella Santa Barbara;1.0
0;Via Odorico da Pordenone;Via Odorico da Pordenone;1.0
0;Via Picutti Giovanni;Via Giovanni Picutti;1.0
1;Via F. Berardi;Via Francesco Berardi;0.666666666667
2b;Via Nicolò Machiavelli;Via Niccolò Machiavelli;0.970833333333
0;Piazzale Tiro a Segno;Piazzale Tiro a Segno;1.0
0;Viale degli Scaligeri;Viale degli Scaligeri;1.0
0;Piazzale Giuseppe Giusti;Piazzale Giuseppe Giusti;1.0
1;Via G. Carpioni;Via Giulio Carpioni;0.666666666667
