INDIRIZZI DELLA TOPONOMASTICA NON UTILIZZATI DURANTE IL PROCESSO DI ASSOCIAZIONE:
Piazzetta Sant'Andrea
Giardini Guerrino Miglioranzi
Via Forte Azzano
Giardini Robert Baden Powell
Percorso Giovanni Palatucci
Via Frizzolana
Via Dietro Anfiteatro
Via Giuseppe Corso
Scaletta Pellicciai
Via Leonardo Targa
Giardini Alessandro Canestrari
Giardini Aldo Petacchio
Piazzetta Giorgio Peroni
Via dei Platani
Via Ca' Nove Ronchi
Vicoletto Cieco Storione
Via Luigi Bonomi
Giardini Caduti di Nassiriya
Vicolo Monte
Vicolo Cieco Chiavica
Piazzetta Orti di Spagna
Via delle Corde
Piazza Papa Giovanni Paolo Secondo
Via Santuario della Salute
Corte Giorgio Zanconati
Vicolo Verza
Giardini Filippo e Fausto Tommasoli
Via Hrayr Terzian
Contrada Bordelè
Via Ponte Cittadella
Via Bencivenga Biondani
Via don Bassi
Via Senza Indirizzo
Piazza Madonna di Campagna
Contrada Maroni
Parco Achille Forti
Strada Schioppe
Contrada Duello
Piazzetta Scalette Rubiani
Vicolo Cieco Dietro San Francesco
Giardini Franco Donatoni
Strada Marzar
Strada T-Sud
Strada T4-T9
Piazza Caterino Stefani
Giardini Luigi Scapini
Ponte Diga Pestrino
Piazzetta don Tarcisio Tibaldo
Giardini Renzo Chiarelli
Vicoletto Cieco Colomba
Via Giovanni e Vittorio Duca
Piazza della Vittoria
Vicolo Isola
Stradella Tagliaferro
Vicolo Crocioni
Via Villa Tomba
Via Fasola
Vicolo San Carlo
Giardini Cesare Lombroso
Via del Comune
Giardini Fratelli Massimiliano e Davide Turazza
Vicolo Seghe San Tomaso
Giardini Alessandro Zenatello
Piazza Postojali
Piazza Santi Apostoli
Vicolo Cigno
Piazza Marinai d'Italia
Giardini - I Cantori Veronesi
Vicolo Cortili
Parco Giochi Nino Pozzo
Piazzetta Andrea Montignani
Giardini Peter Benenson
Piazza Angelo Dall'Oca Bianca
Via Moruri
Corte Bentivoglio
Scalone Volto San Bartolomeo
Autostrada A22 del Brennero
Giardini Oriana Fallaci
Vicolo San Tomaso Apostolo
Autostrada A4 Brescia Padova
Corte Cortalta
Giardini Domenico Melegatti
Ponte Castelvecchio
Via Marchesino
Giardini Gen. Emilio Lo Cicero
Viale Apollinare Veronesi
Vicolo Dietro Campanile San Tomaso
Giardini Mario Mazza
Giardini Manuel Fiorito
Giardini Raffaele Trevisan
Piazza Giacomo Brodolini
Vicolo Cieco Campostrini
Giardini Plinio Codognato
Via degli Aceri
Contrada Casai
Largo don Giovanni Calabria
Vicolo Amanti
Vicoletto Cieco Croce di Malta
Via Stevani
Strada delle Maragnole
